Location,Production,Startup,Lat,Unnamed: 5, Lat, Lng,Unnamed: 3
Meiringen,1.0,1889.0,,,46.7251614,8.1909081,
Schattenhalb,1.9,1927.0,,,46.7185473,8.1911357,
Schattenhalb,2.3,2017.0,,,46.7185473,8.1911357,
Schattenhalb,9.7,2010.0,,,46.7185473,8.1911357,
Brienz,0.9,1949.0,,,46.7541541,8.0316899,
Grindelwald,1.4,1960.0,,,46.624164,8.0413962,
Lütschental,11.9,1908.0,,,,,
"Lauterbrunnen, Stechelberg",4.3,1905.0,,,,,
Saxeten,0.48,1999.0,,,46.63639570000001,7.8311603000000005,
Wilderswil,0.8,1998.0,,,46.6652174,7.868918300000001,
"Interlaken, Kanal",0.82,1894.0,,,,,
Unterseen,0.3,1996.0,,,46.6852116,7.848157400000002,
"Kandersteg, Eggeschwand",2.1,2009.0,,,,,
"Kandersteg, Zilfuri",1.09,1903.0,,,,,
"Kandersteg, Dorf",1.03,1996.0,,,,,
Inner-Kandergrund,19.0,1911.0,,,46.5443255,7.662839,
"Adelboden, Engstligenalp",0.6,1937.0,,,,,
"Reichenbach, Losplatte",2.75,2017.0,,,,,
"Adelboden, Moosweid",0.35,1903.0,,,,,
Adelboden,0.5,1996.0,,,46.4930889,7.559512299999999,
Längmad am Thunersee,18.66,1899.0,,,,,
"St. Stephan, Matten",2.09,2016.0,,,,,
St. Stephan,0.35,2016.0,,,46.50595,7.402049999999999,
"Boltigen, Garstatt",2.6,2016.0,,,,,
Weissenburg,0.37,1898.0,,,46.65835999999999,7.475439999999999,
Erlenbach,1.3,1946.0,,,47.3052989,8.597147099999999,
Erlenbach,18.0,1959.0,,,47.3052989,8.597147099999999,
Simmenfluh (Wimmis),9.0,1962.0,,,46.6793,7.620889999999998,
Thun,6.32,1962.0,,,46.7579868,7.6279881,
Thun,2.83,1917.0,,,46.7579868,7.6279881,
"Thun, Kanal (Uttigenstr.)",0.44,1901.0,,,,,
Blumenstein,0.64,1918.0,,,46.74109989999999,7.5204564,
"Bern, Matte",1.16,1891.0,,,,,
Engehalde,0.44,1998.0,,,46.9566886,7.4397875,
Felsenau,11.5,1909.0,,,46.97294829999999,7.440753900000001,
Buttenried,44.59,1920.0,,,46.963486700000004,7.2760822,
Innergsteig,18.0,1966.0,,,46.3793924,7.274475099999999,
Lauenen bei Gstaad,0.9,2014.0,,,46.42427,7.322610000000001,
Gsteig b.Gstaad,0.72,1948.0,,,46.385263099999996,7.267346000000001,
"Château d'Oex, Gérignoz",0.45,1996.0,,,,,
Montbovon,31.0,1896.0,,,46.483332,7.033328999999998,
Lessoc,8.56,1973.0,,,46.499998,7.0666579999999986,
Grandvillard,2.9,1999.0,,,46.54092800000001,7.086142799999998,
Jaun,0.38,1982.0,,,46.6103237,7.2861429000000015,
"Charmey, La Tzintre",0.86,2012.0,,,,,
"Charmey, Le Perré",5.27,1893.0,,,,,
Broc,25.0,1921.0,,,46.6042074,7.097494500000001,
Rossens,0.7,1976.0,,,46.7205552,7.1041753,
Rossens,1.7,2005.0,,,46.7205552,7.1041753,
Hauterive,60.0,1902.0,,,47.01564279999999,6.9725091,
"Fribourg, Maigrauge",0.58,1870.0,,,,,
"Fribourg, Oelberg",18.3,1910.0,,,,,
Weissenburg_Del,0.37,1898.0,,,46.658333,7.475556,
Schiffenen,71.0,1964.0,,,46.850486100000005,7.158170699999999,
"Niederried, Radelfingen",15.0,1963.0,,,,,
Aarberg,15.2,1968.0,,,47.042055299999994,7.2751012,
Kallnach,8.3,1913.0,,,47.018347399999996,7.235455900000001,
Hagneck,2.91,1900.0,,,47.05672,7.1857000000000015,
Hagneck,20.96,2015.0,,,47.05672,7.1857000000000015,
La Dernier,28.0,1903.0,,,46.8547534,6.5014409,
Vallorbe,2.35,1955.0,,,46.71199650000001,6.3791101999999995,
Les Clées,30.0,1955.0,,,,,
Montcherand,15.5,1908.0,,,46.73381000000001,6.50864,
Orbe,2.6,1894.0,,,46.729330100000006,6.5323588,
Orbe,0.77,2013.0,,,46.729330100000006,6.5323588,
Orbe,0.58,1920.0,,,46.729330100000006,6.5323588,
La Doux / St.Sulpice,0.82,1896.0,,,46.90982409999999,6.5643666,
St.Sulpice,3.9,1988.0,,,46.51011399999999,6.558195100000002,
"Noiraigue, Le Furcil",0.68,1956.0,,,,,
Brot - Dessous,1.11,1896.0,,,46.9558416,6.747745399999999,
"Brot-Dessous, Les Moyats",1.6,1887.0,,,,,
"Boudry, Combe-Garot",4.86,1897.0,,,,,
Boudry,4.4,1914.0,,,46.9542921,6.8478409,
Boudry,0.5,2014.0,,,46.9542921,6.8478409,
"Neuchâtel, Serrières",0.51,1920.0,,,,,
"Neuchâtel, Serrières",0.36,1939.0,,,,,
"Neuchâtel, Serrières",0.32,1939.0,,,,,
"La Serrière, Neuchâtel",1.3,2016.0,,,,,
Sonceboz,0.39,2005.0,,,47.1957402,7.1786493999999985,
"Péry, Rondchâtel",3.0,1883.0,,,,,
"Péry, Frinvillier",0.3,1893.0,,,,,
Frinvillier,0.35,1869.0,,,47.169073,7.2568416,
Biel-Bözingen,0.32,1896.0,,,,,
Bözingen,3.25,1876.0,,,,,
Brügg,5.2,1995.0,,,,,
Rüderswil,0.42,1999.0,,,,,
"Gohlhusbrügg, Lützelflüh",0.42,2016.0,,,,,
Bätterkinden,0.5,1854.0,,,,,
Bätterkinden,0.4,1855.0,,,,,
Utzenstorf,0.38,1893.0,,,47.12816670000001,7.5588034,
Wiler bei Utzenstorf,0.5,1889.0,,,47.15238239999999,7.5591745999999995,
Biberist,0.5,1864.0,,,47.1818339,7.5577799,
Derendingen,0.33,1863.0,,,47.195243299999994,7.585593099999999,
Luterbach,0.86,1876.0,,,47.2159256,7.587512500000001,
Luterbach,0.32,1888.0,,,47.2159256,7.587512500000001,
Riedholz,23.4,1970.0,,,47.2301841,7.565355399999999,
Bannwil,28.5,1970.0,,,47.2402164,7.7374782999999985,
Oberwynau,12.0,1996.0,,,47.254568,7.7897914,
Schwarzhäusern,8.2,1923.0,,,,,
Boningen,23.0,2000.0,,,47.306647,7.8563887999999995,
Aarburg,0.42,1889.0,,,47.3205914,7.9066923,
Olten,0.37,2015.0,,,47.3499624,7.903703399999999,
Niedergösgen,51.3,1917.0,,,,,
Aarau,16.93,1893.0,,,47.390434,8.0457015,
Aarau,9.2,1929.0,,,47.390434,8.0457015,
Aarau,1.2,2014.0,,,47.390434,8.0457015,
Auenstein,40.0,1945.0,,,47.4166971,8.1362613,
Rupperswil,1.74,1945.0,,,47.4051347,8.129040700000001,
Niederlenz,0.4,1943.0,,,47.4015698,8.1761165,
Schinznach-Dorf,0.65,1953.0,,,47.4474737,8.1427966,
Villnachern,51.25,1953.0,,,47.46941200000001,8.1631666,
Döttingen,6.2,2001.0,,,,,
Döttingen,19.5,1902.0,,,,,
"Klingnau, Gippingen",42.6,1935.0,,,,,
Hospental,2.0,1902.0,,,46.6179587,8.567440099999999,
Realp,0.9,1914.0,,,46.599225700000005,8.5026469,
Realp,2.81,2017.0,,,46.599225700000005,8.5026469,
Andermatt,2.9,1961.0,,,46.633911600000005,8.5935627,
Göschenen,164.8,1962.0,,,,,
Göschenen,33.26,1961.0,,,,,
Göschenen,1.62,1969.0,,,,,
Pfaffensprung,58.0,1949.0,,,46.7136569,8.6089007,
"Wassen, Pfaffensprung",0.72,1998.0,,,,,
Gurtnellen,6.6,1900.0,,,46.73796,8.62781,
Gurtnellen,0.31,2007.0,,,46.73796,8.62781,
Bristen,4.3,2016.0,,,46.73699999999999,8.681239999999999,
Amsteg,120.0,1923.0,,,46.79173549999999,8.6694779,
Amsteg,1.73,1998.0,,,46.79173549999999,8.6694779,
Amsteg,13.0,1910.0,,,46.79173549999999,8.6694779,
"Erstfeld, Ripshusen",7.0,1963.0,,,,,
"Erstfeld, Ripshusen",1.7,1931.0,,,,,
Unterschächen,0.52,1996.0,,,,,
Unterschächen,2.2,1962.0,,,,,
Altdorf,0.3,2002.0,,,46.882127200000006,8.642843599999999,
Isenthal,1.18,1959.0,,,46.91059250000001,8.561981300000001,
Seedorf,0.38,2012.0,,,46.88092,8.61352,
Seedorf,12.0,1955.0,,,46.88092,8.61352,
"Bisisthal, Sahli",4.7,1962.0,,,,,
"Bisisthal, Sahli",9.3,1970.0,,,,,
Bisisthal,15.8,1956.0,,,46.942972,8.830808,
Muotathal,8.8,1960.0,,,46.974017100000005,8.762247300000002,
Muotathal,4.7,1960.0,,,46.974017100000005,8.762247300000002,
Ibach,20.4,1966.0,,,47.011067,8.644371999999999,
Ibach,0.32,1859.0,,,47.011067,8.644371999999999,
Brunnen,0.6,1885.0,,,46.9993073,8.609382199999999,
"Steinen, Müliacher",2.2,2016.0,,,,,
Beckenried,1.63,1957.0,,,46.9704961,8.4657007,
"Engelberg, Stalden",1.27,1941.0,,,,,
Engelberg,8.5,1967.0,,,46.8200266,8.4069918,
Engelberg,3.07,1966.0,,,46.8200266,8.4069918,
Grafenort,31.95,1905.0,,,46.8200266,8.4069918,
Grafenort,1.97,1963.0,,,46.8200266,8.4069918,
Wolfenschiessen,17.75,1962.0,,,46.9081639,8.3959084,
Wolfenschiessen,6.6,1945.0,,,46.9081639,8.3959084,
"Wolfenschiessen, Flüglisloo",2.0,2013.0,,,,,
Oberrickenbach,8.7,1937.0,,,46.9081639,8.3959084,
Buochs,0.33,1888.0,,,46.9735985,8.420352000000001,
Lungern,1.2,2003.0,,,46.785818799999994,8.159704,
Kaiserstuhl,10.3,1933.0,,,47.567558500000004,8.418268900000001,
Giswil,12.0,2013.0,,,46.838212,8.1872814,
Giswil,54.0,1921.0,,,46.838212,8.1872814,
"Sachseln, Obflue",0.3,2005.0,,,,,
"Kerns, Stöckalp",14.0,1960.0,,,,,
"Kerns, Wisserlen",1.15,1905.0,,,,,
"Alpnach, Eichibrücke",2.4,1957.0,,,,,
"Stansstad, Rotzloch",0.3,1872.0,,,,,
Luzern,0.93,1998.0,,,47.05016819999999,8.3093072,
Wolhusen,0.33,1906.0,,,47.0586361,8.073163300000001,
Malters,0.87,2011.0,,,47.0369701,8.183899199999999,
Kriens/Obernau,0.71,1999.0,,,47.030840000000005,8.2515,
Littau,0.79,1886.0,,,47.05077120000001,8.264809399999999,
Emmenbrücke,1.08,1931.0,,,,,
Emmen,2.1,1896.0,,,47.07723379999999,8.275637,
"Perlen, Buchrain",1.0,1873.0,,,,,
"Perlen, Root",1.15,1875.0,,,,,
Unterägeri,0.45,1908.0,,,,,
"Neuägeri, Gmde Menzingen",0.34,2015.0,,,,,
"Lorzentobel, Nidfuren",1.9,1898.0,,,,,
Lorzentobel,1.67,1891.0,,,47.1672222,8.559722200000001,
Baar,2.17,1854.0,,,47.1953729,8.526087,
"Friesencham, Cham",0.6,1897.0,,,,,
Hagendorn,0.58,1893.0,,,47.2031877,8.4322035,
Bremgarten,20.0,1975.0,,,47.34917739999999,8.3397905,
Bremgarten,0.54,1998.0,,,47.34917739999999,8.3397905,
Windisch,2.09,1830.0,,,47.4789604,8.2159655,
"Linthal, Ochsenstafel",500.0,2016.0,,,,,
"Linthal, Ochsenstafel",4.4,1965.0,,,,,
"Linthal, Tierfehd",261.0,1964.0,,,,,
"Linthal, Tierfehd",140.0,2010.0,,,,,
"Linthal, Tierfehd",42.0,1964.0,,,,,
Linthal,34.4,1964.0,,,46.9218287,8.999643800000001,
Linthal,15.0,1950.0,,,46.9218287,8.999643800000001,
Linthal,0.5,1900.0,,,46.9218287,8.999643800000001,
Linthal,1.6,1877.0,,,46.9218287,8.999643800000001,
"Linthal, Stachelberg",3.9,1921.0,,,,,
Braunwald,0.93,2014.0,,,46.939304299999996,8.9981219,
Rüti,0.36,1901.0,,,,,
Rüti,0.56,1920.0,,,,,
"Rüti, Gmde Glarus Süd",2.53,2017.0,,,,,
Diesbach,0.93,1945.0,,,46.916667,9.05,
Hätzingen,1.05,1850.0,,,,,
Hätzingen,1.06,2016.0,,,,,
Luchsingen,3.5,1940.0,,,46.967290500000004,9.036789,
Leuggelbach,1.0,1930.0,,,46.966667,9.049999900000001,
Haslen,0.92,1848.0,,,46.980873700000004,9.0558843,
Schwanden,0.9,1828.0,,,46.994162599999996,9.0739145,
Schwanden,15.7,1931.0,,,46.994162599999996,9.0739145,
Schwanden,28.2,1931.0,,,46.994162599999996,9.0739145,
Schwanden,1.8,1899.0,,,46.994162599999996,9.0739145,
Schwanden,0.5,1908.0,,,46.994162599999996,9.0739145,
Elm,0.33,1995.0,,,46.91979569999999,9.1723405,
Matt,0.64,1902.0,,,46.9578717,9.1715862,
Engi (Glarus Süd),0.53,2012.0,,,,,
"Engi, Vorderdorf (Glarus Süd)",3.75,2009.0,,,,,
Mitlödi,4.0,2018.0,,,,,
Mitlödi (Glarus Süd),0.85,2016.0,,,,,
Ennenda,0.82,1920.0,,,47.0338781,9.0775529,
"Mitlödi, Gmde. Glarus Süd",0.55,2016.0,,,,,
"Ennenda, Alpenbrüggli",0.32,2011.0,,,,,
Netstal,0.8,1912.0,,,47.0633697,9.0550398,
Netstal,89.1,1908.0,,,47.0633697,9.0550398,
Netstal,1.42,1923.0,,,47.0633697,9.0550398,
Mels,0.99,1906.0,,,47.0478375,9.422401800000001,
Mels,0.55,1878.0,,,47.0478375,9.422401800000001,
Mels,1.76,2018.0,,,47.0478375,9.422401800000001,
"Mels, Steigs",3.3,1931.0,,,,,
"Plons, Gmde. Mels",4.5,1948.0,,,,,
Flums,5.07,1901.0,,,47.09164610000001,9.3425546,
Flums,0.7,1943.0,,,47.09164610000001,9.3425546,
Flums,1.48,1866.0,,,47.09164610000001,9.3425546,
Flums,1.19,1974.0,,,47.09164610000001,9.3425546,
"Flums, Rüfi",0.34,1890.0,,,,,
Walenstadt,3.14,2019.0,,,47.123979999999996,9.31603,
Töbeli,0.6,1895.0,,,,,
"Mols, Tal",0.75,1954.0,,,,,
Oberterzen,1.16,1927.0,,,47.102403,9.255855000000002,
"Murgtal, Merlen",0.41,1950.0,,,,,
"Murgtal, Unter Plätz",0.52,1935.0,,,,,
"Murgtal, Unter Plätz",6.5,1994.0,,,,,
"Murgtal, Unter Plätz",2.3,1959.0,,,,,
"Murg, unterhalb Gödis",2.8,1909.0,,,,,
Murg,2.32,1836.0,,,47.5061724,8.941068999999997,
"Amden, Muslen",1.63,1908.0,,,,,
Rütiberg / Näfels,0.89,1961.0,,,,,
Rütiberg / Näfels,0.85,1977.0,,,,,
Näfels,4.5,1925.0,,,,,
Niederurnen,2.22,1903.0,,,47.125507,9.053150500000001,
Ziegelbrücke,0.58,1837.0,,,,,
Uznach,0.51,2015.0,,,47.2243722,8.984141699999999,
"Vorderthal, Rempen",66.24,1926.0,,,,,
Siebnen,51.52,1926.0,,,47.1744948,8.897176,
"Galgenen, Vorauen",0.3,1863.0,,,,,
Altendorf,135.0,1937.0,,,47.1914822,8.829904299999997,
Bäch,0.3,1957.0,,,,,
Schindellegi,0.87,1869.0,,,47.1748077,8.712788699999999,
Wollerau,1.45,1961.0,,,47.19717,8.713379999999999,
Zürich,0.64,1860.0,,,,,
Zürich,5.0,1877.0,,,,,
Zürich,1.4,1898.0,,,,,
Dietikon,2.94,1933.0,,,47.4053885,8.39977,
Wettingen,2.1,2007.0,,,47.465950299999996,8.3265988,
Wettingen,25.35,1933.0,,,47.465950299999996,8.3265988,
Baden,0.5,2013.0,,,47.472879999999996,8.30809,
Baden,5.2,1909.0,,,47.472879999999996,8.30809,
"Baden, Chappelerhof",7.0,1892.0,,,,,
"Untersiggenthal, Schiffmüli",0.38,2013.0,,,,,
"Untersiggenthal, Schiffmüli",3.3,1896.0,,,,,
Turgi,1.0,1902.0,,,47.488797399999996,8.2547897,
Turgi,0.9,1861.0,,,47.488797399999996,8.2547897,
Untersiggenthal,0.8,1864.0,,,47.4978612,8.2638309,
"Ulrichen, Altstafel",9.67,1967.0,,,,,
"Oberwald, St. Niklaus",14.3,2017.0,,,,,
"Ulrichen, zum Loch",2.35,2014.0,,,,,
"Münster, Moos",1.99,1959.0,,,,,
"Wiler, Münster-Geschinen",0.86,2016.0,,,,,
Grafschaft,3.64,2013.0,,,46.455335600000005,8.2169557,
Rappental,1.2,1965.0,,,46.818188,8.227511999999999,
Neubrigg,26.0,1965.0,,,46.818188,8.227511999999999,
Fieschertal,64.0,1975.0,,,46.4245787,8.143049000000001,
Fiesch,3.1,2012.0,,,46.4014491,8.1333135,
Niederernen,33.0,1954.0,,,46.393056,8.136111,
"Heiligkreuz, Längtal",1.25,1969.0,,,,,
Heiligkreuz,41.0,1971.0,,,46.9461658,8.0561115,
Mörel,35.3,1951.0,,,,,
Mörel,54.9,1943.0,,,,,
Bitsch,7.2,1899.0,,,46.336008299999996,8.01573,
"Bitsch, Biel",340.0,1969.0,,,,,
Naters,0.44,1900.0,,,46.3239282,7.991656900000001,
"Mund, In de Fäldu (Gem.Naters)",1.44,2015.0,,,,,
Ried-Brig,2.35,1990.0,,,46.31726,8.01774,
Ried-Brig,0.55,2013.0,,,46.31726,8.01774,
Ried-Brig,5.01,1990.0,,,46.31726,8.01774,
Ried-Brig,0.45,1995.0,,,46.31726,8.01774,
Brig-Glis,6.1,1942.0,,,46.315899200000004,7.9878208000000015,
"Badhalte, Brig-Glis",1.44,2015.0,,,,,
"Saas Almagell, Zermeiggern",74.0,1966.0,,,,,
"Saas Almagell, Zermeiggern",0.0,1987.0,,,,,
"Saas-Fee, Wichulti",1.55,1960.0,,,,,
